date,value
2012-06-01,105225983476.51
2012-07-01,103595938123.14
2012-08-01,109075114033.33
2012-09-01,111690467801.24
2012-10-01,114111947204.01
2012-11-01,117476114205.96
2012-12-01,122896780774.3
2013-01-01,123566591994.32
2013-02-01,124814510588.32
2013-03-01,127966759582.46
2013-04-01,130302487035.32
2013-05-01,133294703805.71
2013-06-01,138431056257.16
2013-07-01,136737760360.11
2013-08-01,140265899525.14
2013-09-01,143889330569.32
2013-10-01,146680835465.45
2013-11-01,150407400928.13
2013-12-01,155767115528.9
2014-01-01,158872987068.35
2014-02-01,160936007202.05
2014-03-01,163414323659.24
2014-04-01,166936298857.33
2014-05-01,169786495269.76
2014-06-01,173005701018.24
2014-07-01,171678638309.93
2014-08-01,175711048457.52
2014-09-01,180011226664.58
2014-10-01,181975859319.27
2014-11-01,184964663395.69
2014-12-01,190076263042.83
2015-01-01,190723614359.3
2015-02-01,191509870324.52
2015-03-01,193037227082.66
2015-04-01,192929058546.68
2015-05-01,192484603119.81
2015-06-01,193475551491.95
2015-07-01,190604274957.53
2015-08-01,194742390297.21
2015-09-01,196680588243.71
2015-10-01,195854099733.32
2015-11-01,197550946897.92
2015-12-01,201494910406.89
2016-01-01,202599372508.58
2016-02-01,203491026357.85
2016-03-01,205584005988.09
2016-04-01,207349131048.9
2016-05-01,206430854669.67
2016-06-01,206817295197.66
2016-07-01,204620018252.9
2016-08-01,205608445857.64
2016-09-01,205833880427.03
2016-10-01,204705135166.83
2016-11-01,206083611372.03
2016-12-01,211238212988.35
2017-01-01,213158278292.62
2017-02-01,214907112325.84
2017-03-01,217642556491.39
2017-04-01,219856850969.69
2017-05-01,219562592080.55
2017-06-01,219833999622.75
2017-07-01,211536791141.03
2017-08-01,215467665151.56
2017-09-01,217368445705.76
2017-10-01,218585585204.15
2017-11-01,220266190903.13
2017-12-01,224011832326.87
2018-01-01,225438852838.81
2018-02-01,226211405701.36
2018-03-01,227818618536.21
2018-04-01,228946072080.12
2018-05-01,227819432787.41
2018-06-01,228091484840.16
2018-07-01,225298549262.4
2018-08-01,230327395775.74
2018-09-01,232642807476.63
2018-10-01,234612721313.67
2018-11-01,237494792143.33
2018-12-01,241225455151.66
2019-01-01,245758753815.24
2019-02-01,246763155302.26
2019-03-01,248430222009.84
2019-04-01,247965322582.35
2019-05-01,246223504523.97
2019-06-01,244574939947.91
2019-07-01,241603292328.43
2019-08-01,247225188253.57
2019-09-01,251315706791.97
2019-10-01,253459134830.89
2019-11-01,257027635489.12
2019-12-01,260504854802.3
2020-01-01,262977065913.35
2020-02-01,264478877655.29
2020-03-01,266174446592.57
2020-04-01,264607390689.15
2020-05-01,262410446886.28
2020-06-01,262712230132.29
2020-07-01,262849820862.9
2020-08-01,269780269012.53
2020-09-01,275481529954.68
2020-10-01,282007314518.78
2020-11-01,286071004977.53
2020-12-01,292114949164.15
2021-01-01,296051055024.7
2021-02-01,299682608457.78
2021-03-01,304819716111.69
2021-04-01,306589949627.09
2021-05-01,309201697608.28
2021-06-01,314972970038.45
2021-07-01,322665060519.88
2021-08-01,334900577815.63
2021-09-01,345224668584.25
2021-10-01,357796964600.35
2021-11-01,367491884573.76
2021-12-01,379387295549.12
2022-01-01,385701937671.62
2022-02-01,389936864855.67
2022-03-01,391838689848.76
2022-04-01,390451534052.1
2022-05-01,389184481604.14
2022-06-01,396787984935.93
2022-07-01,410145857532.02
2022-08-01,436868506239.76
2022-09-01,455866517292.42
2022-10-01,468081842585.98
2022-11-01,478808490791.56
2022-12-01,491649167826.18
2023-01-01,499269833347.24
2023-02-01,505867731927.41
2023-03-01,513656560417.36
2023-04-01,508756362773.26
2023-05-01,503328780461.22
2023-06-01,499434460367.31
2023-07-01,503932987514.1
2023-08-01,527706399250.47
2023-09-01,541288892123.79
2023-10-01,551762833246.2
2023-11-01,562454512042.77
2023-12-01,574599223583.27
